FileName,Grain #,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,49,44.5,7.527227892173502,65.6461388561849,9.121677973774194,6.96870312806936,33.384776310850235,170.0,191.2134831460674,210.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,50,11141.25,119.10281305569836,-86.97815672558067,196.1925942299022,77.13562141819683,645.0762081801236,68.0,182.15153147088523,241.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,51,3361.5,65.42166865517304,87.96798931325081,79.66362178082069,57.56531616275808,318.6193180368812,87.0,160.94831176558085,222.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,52,5814.5,86.04214858348554,-78.82972956728013,165.02003102201067,58.913527684538444,605.5731598529186,57.0,167.8223406999742,245.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,53,2465.25,56.02547445277336,61.67422513206711,88.67399623542143,47.26379202397482,306.8264248180677,64.0,173.91542439914815,253.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,54,8754.5,105.57734413397593,-86.67701968503893,217.7991916234625,57.26288790058605,760.7005768508881,76.0,181.18119252955623,253.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,55,7718.25,99.13213967302516,-86.48804674557755,174.9830679232046,60.654108508760956,517.4365978733342,75.0,159.35558578693357,213.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,56,5034.75,80.06524088426488,-83.09193547442018,110.02129693157973,61.600708428077574,392.7381130634992,86.0,166.97174636277867,231.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,57,822.5,32.361080413741924,-87.14811977357259,36.4053671120239,30.94282246910783,172.98580438450185,94.0,180.3033434650456,252.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,58,31.25,6.3078313050504,25.88835232158556,7.492908148135207,5.962416245416702,24.14213562373095,117.0,136.296,161.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,59,1.25,1.2615662610100802,90.00003218077504,2.8284271247461903,0.0,1.5,196.0,206.6,218.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,60,146.25,13.64592552440169,84.29920953737258,19.321671254420163,12.551299278877496,66.13046532517446,125.0,216.74700854700853,242.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,61,11191.75,119.37243683024049,-89.04287967121529,250.56179343732205,60.69106377516307,635.0457249080741,66.0,164.00712578461813,214.0
